%time,field.header.seq,field.header.stamp,field.header.frame_id,field.robot_pos.x,field.robot_pos.y,field.robot_pos.z,field.goal.x,field.goal.y,field.goal.z,field.dist_from_goal,field.collision.x,field.collision.y,field.collision.z,field.iteration
309573000000,82,309573000000,,3.5931075602,0.7874701365,0,7.3299999237,1.75,0,3.8588635922,-100000,-100000,0,1
309674000000,83,309674000000,,3.6299958794,0.8214430236,0,7.3299999237,1.75,0,3.8147408962,-100000,-100000,0,1
309773000000,84,309773000000,,3.6768626227,0.8662256578,0,7.3299999237,1.75,0,3.7585194111,-100000,-100000,0,1
309873000000,85,309873000000,,3.6980397664,0.8871188801,0,7.3299999237,1.75,0,3.7330548763,-100000,-100000,0,1
309973000000,86,309973000000,,3.7475019873,0.9365869459,0,7.3299999237,1.75,0,3.6736810207,-100000,-100000,0,1
310073000000,87,310073000000,,3.7795430909,0.9681918051,0,7.3299999237,1.75,0,3.6355147362,-100000,-100000,0,1
310173000000,88,310173000000,,3.8082687962,0.9961031565,0,7.3299999237,1.75,0,3.6015205383,-100000,-100000,0,1
310273000000,89,310273000000,,3.8478206742,1.0341136888,0,7.3299999237,1.75,0,3.5550057888,-100000,-100000,0,1
310374000000,90,310374000000,,3.8769907499,1.061595899,0,7.3299999237,1.75,0,3.5209617615,-100000,-100000,0,1
310475000000,91,310475000000,,3.9290837713,1.1084614281,0,7.3299999237,1.75,0,3.4608962536,-100000,-100000,0,1
310573000000,92,310573000000,,3.9671789576,1.1409235033,0,7.3299999237,1.75,0,3.4175341129,-100000,-100000,0,1
310673000000,93,310673000000,,3.9980142968,1.1664285848,0,7.3299999237,1.75,0,3.3827037811,-100000,-100000,0,1
310773000000,94,310773000000,,4.0369724471,1.1974992125,0,7.3299999237,1.75,0,3.3390545845,-100000,-100000,0,1
310874000000,95,310874000000,,4.0728719197,1.2246846745,0,7.3299999237,1.75,0,3.2992181778,-100000,-100000,0,1
310973000000,96,310973000000,,4.1136096351,1.2537395385,0,7.3299999237,1.75,0,3.2544491291,-100000,-100000,0,1
311073000000,97,311073000000,,4.1680297435,1.2894992274,0,7.3299999237,1.75,0,3.195327282,-100000,-100000,0,1
311173000000,98,311173000000,,4.2023530259,1.3104681347,0,7.3299999237,1.75,0,3.1583800316,-100000,-100000,0,1
311277000000,99,311277000000,,4.2459253146,1.3353842422,0,7.3299999237,1.75,0,3.1118197441,-100000,-100000,0,1
311373000000,100,311373000000,,4.2904551617,1.3586386269,0,7.3299999237,1.75,0,3.0646362305,-100000,-100000,0,1
311473000000,101,311473000000,,4.326694152,1.3759586002,0,7.3299999237,1.75,0,3.0265083313,-100000,-100000,0,1
311573000000,102,311573000000,,4.3776869243,1.3979106525,0,7.3299999237,1.75,0,2.9732339382,-100000,-100000,0,1
311674000000,103,311674000000,,4.43860481,1.42102714,0,7.3299999237,1.75,0,2.9100496769,-100000,-100000,0,1
311773000000,104,311773000000,,4.4861761106,1.4369017503,0,7.3299999237,1.75,0,2.8610076904,-100000,-100000,0,1
311875000000,105,311875000000,,4.5246250708,1.4483292625,0,7.3299999237,1.75,0,2.8215477467,-100000,-100000,0,1
311973000000,106,311973000000,,4.5778941932,1.4622976059,0,7.3299999237,1.75,0,2.7671029568,-100000,-100000,0,1
312073000000,107,312073000000,,4.616802882,1.4716957059,0,7.3299999237,1.75,0,2.7274332047,-100000,-100000,0,1
312173000000,108,312173000000,,4.660610781,1.4818099771,0,7.3299999237,1.75,0,2.6828277111,-100000,-100000,0,1
312275000000,109,312275000000,,4.7291509017,1.4963688642,0,7.3299999237,1.75,0,2.6131868362,-100000,-100000,0,1
312373000000,110,312373000000,,4.7734073488,1.5045976277,0,7.3299999237,1.75,0,2.568343401,-100000,-100000,0,1
312474000000,111,312474000000,,4.8227171209,1.5128261591,0,7.3299999237,1.75,0,2.5184752941,-100000,-100000,0,1
312573000000,112,312573000000,,4.8623506734,1.5192416116,0,7.3299999237,1.75,0,2.4784154892,-100000,-100000,0,1
312674000000,113,312674000000,,4.9164130835,1.5284575623,0,7.3299999237,1.75,0,2.423732996,-100000,-100000,0,1
312774000000,114,312774000000,,4.9604392039,1.5368799661,0,7.3299999237,1.75,0,2.3791255951,-100000,-100000,0,1
312873000000,115,312873000000,,5.0089852806,1.5473519574,0,7.3299999237,1.75,0,2.3298447132,-100000,-100000,0,1
312973000000,116,312973000000,,5.047334335,1.5564680244,0,7.3299999237,1.75,0,2.2908551693,-100000,-100000,0,1
313073000000,117,313073000000,,5.1199839326,1.5745688555,0,7.3299999237,1.75,0,2.2169675827,-100000,-100000,0,1
313173000000,118,313173000000,,5.1587631779,1.5843775903,0,7.3299999237,1.75,0,2.177544117,-100000,-100000,0,1
313273000000,119,313273000000,,5.2023654041,1.5954679465,0,7.3299999237,1.75,0,2.1332390308,-100000,-100000,0,1
313373000000,120,313373000000,,5.2507982962,1.6078147896,0,7.3299999237,1.75,0,2.0840575695,-100000,-100000,0,1
313474000000,121,313474000000,,5.3137492988,1.623898155,0,7.3299999237,1.75,0,2.020190239,-100000,-100000,0,1
313573000000,122,313573000000,,5.362216277,1.6360480541,0,7.3299999237,1.75,0,1.9710800648,-100000,-100000,0,1
313674000000,123,313674000000,,5.4059500295,1.6466969045,0,7.3299999237,1.75,0,1.9268211126,-100000,-100000,0,1
313773000000,124,313773000000,,5.4497601908,1.6570028143,0,7.3299999237,1.75,0,1.8825384378,-100000,-100000,0,1
313873000000,125,313873000000,,5.5034406411,1.6690333904,0,7.3299999237,1.75,0,1.8283526897,-100000,-100000,0,1
313974000000,126,313974000000,,5.5426429707,1.6772908984,0,7.3299999237,1.75,0,1.7888351679,-100000,-100000,0,1
314073000000,127,314073000000,,5.5917133284,1.6871419903,0,7.3299999237,1.75,0,1.7394225597,-100000,-100000,0,1
314174000000,128,314174000000,,5.6556509952,1.6991135447,0,7.3299999237,1.75,0,1.6751219034,-100000,-100000,0,1
314273000000,129,314273000000,,5.704949947,1.7077206895,0,7.3299999237,1.75,0,1.6256000996,-100000,-100000,0,1
314373000000,130,314373000000,,5.7443373686,1.7145847721,0,7.3299999237,1.75,0,1.5860577822,-100000,-100000,0,1
314473000000,131,314473000000,,5.7984277183,1.7242968435,0,7.3299999237,1.75,0,1.5317879915,-100000,-100000,0,1
314574000000,132,314574000000,,5.8384977983,1.7315555141,0,7.3299999237,1.75,0,1.4916163683,-100000,-100000,0,1
314673000000,133,314673000000,,5.8928365136,1.7407054656,0,7.3299999237,1.75,0,1.4371933937,-100000,-100000,0,1
314773000000,134,314773000000,,5.9324417361,1.7466513349,0,7.3299999237,1.75,0,1.3975622654,-100000,-100000,0,1
314873000000,135,314873000000,,6.0019202431,1.7558130007,0,7.3299999237,1.75,0,1.3280924559,-100000,-100000,0,1
314973000000,136,314973000000,,6.0466833492,1.7609630163,0,7.3299999237,1.75,0,1.2833634615,-100000,-100000,0,1
315073000000,137,315073000000,,6.0915138694,1.7655099345,0,7.3299999237,1.75,0,1.2385834456,-100000,-100000,0,1
315177000000,138,315177000000,,6.1364086217,1.7693855248,0,7.3299999237,1.75,0,1.1937484741,-100000,-100000,0,1
315273000000,139,315273000000,,6.1962735225,1.7737734034,0,7.3299999237,1.75,0,1.1339758635,-100000,-100000,0,1
315374000000,140,315374000000,,6.2511251784,1.7775683239,0,7.3299999237,1.75,0,1.0792267323,-100000,-100000,0,1
